genes	Mf_mean	Mm_mean	theta	prob	log2FC
Rphi_RPHIM00000010357	0.1	14.7873933968333	-3.67399159838915	0.999999999999996	-7.20822395790603
Rphi_RPHIM00000000026	801.444511464233	316.3914447035	3.20565927384638	0.999999999999996	1.34089204836459
Rphi_RPHIM00000028595	0.1	17.8247311434333	-2.45649119429867	0.999999999999996	-7.47773650594119
Rphi_RPHIM00000021312	25.4001023959	1678.18977654763	-2.47883556426381	0.999999999999996	-6.04592774764755
Rphi_RPHIM00000020392	0.1	37.7196038666	-3.88766529580409	0.999999999999996	-8.55917071460288
Rphi_RPHIM00000011689	760.616148577533	193.0701180283	2.57032703891813	0.999999999999996	1.97804367718339
Rphi_RPHIM00000016297	16.6854139052667	330.358781233933	-2.61461966930555	0.999999999999996	-4.30737431319274
Rphi_RPHIM00000008476	3.65400438923333	171.783337199067	-3.03075561161201	0.999999999999996	-5.55496792620491
Rphi_RPHIM00000007006	0.1	47.9912778337333	-3.84299656861984	0.999999999999996	-8.90662841707861
Rphi_RPHIM00000028557	0.1	200.316151022533	-3.90106659092729	0.999999999999996	-10.9680630316277
Rphi_RPHIM00000019460	0.1	25.5722044660333	-2.56348924134883	0.999999999999995	-7.99843272403936
Rphi_RPHIM00000017241	0.1	27.0644372785	-2.56279462807624	0.999999999999995	-8.08025458174536
Rphi_RPHIM00000015210	0.1	43.5242958339	-3.87198706601557	0.999999999999995	-8.76567714692374
Rphi_RPHIM00000007431	0.1	27.1146338931	-3.91443371773711	0.999999999999995	-8.08292788071885
Rphi_RPHIM00000006583	118.5121375475	12.5327637421667	1.79224879874162	0.999999999999994	3.24125832191208
Rphi_RPHIM00000028594	0.1	14.5420141436333	-2.61575167663616	0.999999999999994	-7.18408329354313
Rphi_RPHIM00000011088	910.972928877767	368.743320903967	3.1316295611596	0.999999999999994	1.30479126463361
Rphi_RPHIM00000005910	0.1	35.6823870582	-3.92436706662231	0.999999999999994	-8.47906832077942
Rphi_RPHIM00000002589	1.3601015704	620.7344655426	-4.0559229404923	0.999999999999994	-8.83411804798473
Rphi_RPHIM00000030751	378.2448383786	55.9501476469667	2.66777200119062	0.999999999999993	2.75710655175721
Rphi_RPHIM00000014043	1175.49793145793	600.587416577533	3.15693497375603	0.999999999999993	0.968825847077932
Rphi_RPHIM00000002165	958.403769852167	312.012142659733	2.55212778798844	0.999999999999991	1.61903140700748
Rphi_RPHIM00000004353	5050.38754194423	2649.2336053937	4.72968718171489	0.999999999999991	0.930819033473292
Rphi_RPHIM00000014787	22.9832678879333	0.1	3.7661238515039	0.999999999999988	7.84444013269035
Rphi_RPHIM00000014882	349.3427531851	36.1715280487	2.5581092505233	0.999999999999987	3.27171676276517
Rphi_RPHIM00000023193	0.1	114.6806443435	-4.44141067901818	0.999999999999985	-10.1634062002876
Rphi_RPHIM00000022132	357.8823902425	113.422783436067	1.96422642651127	0.999999999999985	1.65777509096185
Rphi_RPHIM00000025559	0.1	21.9215320134333	-4.08118079748867	0.999999999999985	-7.7762048161274
Rphi_RPHIM00000026358	1.53454560816667	32.7720768652667	-1.65455490722635	0.999999999999982	-4.41658367387601
Rphi_RPHIM00000030061	17.7774256065333	0.1	2.48692041271694	0.999999999999982	7.47390260879077
Rphi_RPHIM00000015087	2418.72429358077	1408.0318636202	3.97345540971168	0.999999999999964	0.780566345856876
Rphi_RPHIM00000011502	0.1	238.291991703167	-5.65211258049821	0.999999999999937	-11.2185147522446
Rphi_RPHIM00000008865	0.1	131.401018126567	-4.97392103610729	0.999999999999933	-10.3597607387124
Rphi_RPHIM00000026097	0.1	22.9641258864	-2.6311712593375	0.999999999999888	-7.84323805918785
Rphi_RPHIM00000028215	252.074677429267	47.4991286654333	1.78079821778861	0.999999999999767	2.40787824352356
Rphi_RPHIM00000015584	660.603892679633	230.386367854267	1.97370625052391	0.999999999999607	1.51973011699877
Rphi_RPHIM00000000465	0.1	10.1915707022333	-2.6352751793974	0.9999999999996	-6.67123260336824
Rphi_RPHIM00000003457	907.000166652367	422.0768426187	1.77781848972156	0.999999999999444	1.10359713829392
Rphi_RPHIM00000001903	11.3390998934	107.5180795468	-1.6414483154258	0.99999999999886	-3.24520124682717
Rphi_RPHIM00000005637	582.263545746733	219.965678988133	1.77431541100284	0.999999999998293	1.40439385847326
Rphi_RPHIM00000012272	5.41667285813333	0.1	1.77305584592853	0.999999999997544	5.75933505625186
Rphi_RPHIM00000025197	0.1	15.1109356714667	-2.6417876154087	0.999999999997064	-7.23944918494268
Rphi_RPHIM00000022529	5.4324282554	0.1	2.46389092005509	0.999999999985339	5.76352531113937
Rphi_RPHIM00000013734	2.6868698075	124.681023987967	-2.64797537338637	0.99999999998179	-5.53617168141721
Rphi_RPHIM00000020025	2.22446859856667	106.9750644484	-1.63127041900157	0.999999999977687	-5.58767000487221
Rphi_RPHIM00000024240	0.1	17.4263194587333	-2.92964594008563	0.999999999970439	-7.44512408572515
